mannerofdeath,armed,age,gender,race,state,mentalillness,threatlevel,flee,bodycamera
shot,gun,53,M,A,WA,TRUE,attack,Not fleeing,FALSE
shot,gun,47,M,W,OR,FALSE,attack,Not fleeing,FALSE
shot and Tasered,unarmed,23,M,H,KS,FALSE,other,Not fleeing,FALSE
shot,toy weapon,32,M,W,CA,TRUE,attack,Not fleeing,FALSE
shot,nail gun,39,M,H,CO,FALSE,attack,Not fleeing,FALSE
shot,gun,18,M,W,OK,FALSE,attack,Not fleeing,FALSE
shot,gun,22,M,H,AZ,FALSE,attack,Car,FALSE
shot,gun,35,M,W,KS,FALSE,attack,Not fleeing,FALSE
shot,unarmed,34,F,W,IA,FALSE,other,Not fleeing,TRUE
shot,toy weapon,47,M,B,PA,FALSE,attack,Not fleeing,FALSE
shot and Tasered,knife,25,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,31,M,B,TX,FALSE,attack,Not fleeing,FALSE
shot,knife,41,M,B,OH,TRUE,other,Not fleeing,FALSE
shot,gun,30,M,W,IA,FALSE,attack,Car,FALSE
shot,gun,37,M,B,LA,FALSE,attack,Foot,TRUE
shot,shovel,42,M,W,UT,FALSE,attack,Not fleeing,TRUE
shot,unarmed,36,M,B,AR,FALSE,attack,Not fleeing,FALSE
shot,gun,49,M,W,UT,FALSE,attack,Not fleeing,TRUE
shot,gun,71,M,W,AR,FALSE,attack,Not fleeing,FALSE
shot,gun,33,M,H,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,39,M,W,IL,TRUE,attack,Not fleeing,FALSE
shot,gun,23,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot and Tasered,gun,29,M,H,NV,FALSE,attack,Foot,FALSE
shot,gun,34,M,W,NM,FALSE,attack,Foot,TRUE
shot,knife,43,M,W,TX,TRUE,other,Not fleeing,FALSE
shot,gun,34,M,B,VA,TRUE,attack,Not fleeing,FALSE
shot,knife,75,M,W,NJ,FALSE,attack,Not fleeing,FALSE
shot,gun,68,M,W,TX,FALSE,attack,Not fleeing,FALSE
shot,knife,34,M,W,UT,FALSE,attack,Not fleeing,TRUE
shot,gun,27,M,B,IN,FALSE,attack,Foot,FALSE
shot,gun,39,M,B,CO,FALSE,attack,Not fleeing,FALSE
shot,gun,24,M,W,MN,TRUE,attack,Not fleeing,FALSE
shot,knife,36,M,H,CA,TRUE,other,Not fleeing,FALSE
shot,gun,33,M,W,LA,FALSE,attack,Not fleeing,FALSE
shot,gun,41,M,W,TX,FALSE,attack,Car,FALSE
shot and Tasered,knife,48,M,O,CA,FALSE,other,Not fleeing,FALSE
shot,gun,21,M,B,OK,FALSE,attack,Foot,TRUE
shot,gun,24,M,H,CA,FALSE,attack,Not fleeing,FALSE
shot,knife,27,M,H,TX,FALSE,attack,Not fleeing,FALSE
shot,gun,32,M,W,AZ,TRUE,attack,Not fleeing,FALSE
shot and Tasered,gun,67,M,W,KY,TRUE,attack,Not fleeing,FALSE
shot,knife,49,M,W,MA,FALSE,attack,Not fleeing,FALSE
shot,gun,36,M,W,CA,FALSE,attack,Not fleeing,FALSE
shot,gun,36,M,H,TX,FALSE,attack,Foot,FALSE
shot,gun,19,M,B,MO,FALSE,attack,Not fleeing,FALSE
